Charging Start Time,Charging Duration (minutes),Energy Delivered (kWh)
2025-11-01T03:32:16-04:00,707.3333333333334,58.7
2025-11-01T15:21:39-04:00,102.05,5.8
2025-11-01T17:24:20-04:00,184,16.8
2025-11-01T21:31:42-04:00,182.78333333333333,29.4
2025-11-02T02:35:02-05:00,109.5,8.6
2025-11-02T10:26:24-05:00,127.93333333333334,13.5
2025-11-02T16:41:08-05:00,183.95,29.7
2025-11-02T20:10:38-05:00,57.1,9.2
2025-11-02T22:22:23-05:00,181.6,29.2
2025-11-03T01:24:26-05:00,3.1333333333333333,0.4
2025-11-03T02:24:43-05:00,220.01666666666668,35.4
2025-11-03T07:31:06-05:00,168.28333333333333,24.8
2025-11-03T10:56:53-05:00,105.16666666666667,16.7
2025-11-03T14:36:39-05:00,197.2,16.4
2025-11-03T17:59:18-05:00,177.18333333333334,19.6
2025-11-03T21:06:45-05:00,262.9166666666667,35.4
2025-11-04T06:26:10-05:00,107.81666666666666,10.9
2025-11-04T11:05:51-05:00,195.38333333333333,16.4
2025-11-04T14:26:39-05:00,98.46666666666667,15.8
2025-11-04T16:30:24-05:00,144.33333333333334,23.4
2025-11-04T19:00:08-05:00,7.316666666666666,1.1
2025-11-04T19:11:50-05:00,194.71666666666667,31.6
2025-11-04T22:31:57-05:00,111.25,11.6
2025-11-05T01:57:36-05:00,359.73333333333335,29.8
2025-11-05T08:53:00-05:00,106.65,5.9
2025-11-05T11:30:10-05:00,62.63333333333333,9.8
2025-11-05T13:45:10-05:00,104.11666666666666,16.8
2025-11-05T16:21:32-05:00,221.4,35.8
2025-11-05T20:31:12-05:00,124.58333333333333,20.1
2025-11-06T09:29:19-05:00,40.81666666666667,2.3
2025-11-06T10:42:38-05:00,141.2,18.7
2025-11-06T15:49:08-05:00,0.15,0
2025-11-06T15:49:51-05:00,0.13333333333333333,0
2025-11-06T16:02:13-05:00,263.51666666666665,21.9
2025-11-06T22:00:49-05:00,96.4,15.6
2025-11-07T09:02:12-05:00,137.26666666666668,21.9
2025-11-07T11:25:44-05:00,182.51666666666668,29.2
2025-11-07T14:47:19-05:00,281.48333333333335,31.1
2025-11-07T19:46:58-05:00,185.28333333333333,30.3
2025-11-08T04:52:54-05:00,237.61666666666667,20.0
2025-11-08T08:57:43-05:00,177.18333333333334,14.6
2025-11-08T12:00:38-05:00,220.06666666666666,18.0
2025-11-08T15:43:44-05:00,420.43333333333334,65.5
2025-11-09T07:30:11-05:00,172.41666666666666,14.2
2025-11-09T10:25:33-05:00,179.51666666666668,16.5
2025-11-09T13:36:15-05:00,255.75,41.2
2025-11-09T18:10:33-05:00,91.56666666666666,14.7
2025-11-09T20:35:27-05:00,163.6,26.3
2025-11-10T09:38:59-05:00,43.55,7.0
2025-11-10T11:31:06-05:00,181.48333333333332,20.0
2025-11-10T14:36:49-05:00,179.9,17.3
2025-11-10T17:44:53-05:00,283.76666666666665,46.2
2025-11-10T23:12:16-05:00,82.53333333333333,13.3
2025-11-11T03:42:38-05:00,186.06666666666666,20.7
2025-11-11T07:52:47-05:00,208.26666666666668,22.3
2025-11-11T12:18:37-05:00,72.86666666666666,10.0
2025-11-11T13:34:13-05:00,167.25,26.9
2025-11-11T16:41:21-05:00,111.06666666666666,15.7
2025-11-11T18:36:18-05:00,173.23333333333332,28.0
2025-11-11T21:32:49-05:00,640.6833333333333,55.5
2025-11-12T10:04:07-05:00,70.71666666666667,11.1
2025-11-12T11:59:16-05:00,102.15,11.2
2025-11-12T14:52:19-05:00,134.66666666666666,9.5
2025-11-12T17:25:11-05:00,102.61666666666666,13.2
2025-11-12T19:52:13-05:00,399.01666666666665,45.4
2025-11-13T08:54:00-05:00,172.33333333333334,27.6
2025-11-13T11:51:12-05:00,175.35,19.3
2025-11-13T15:14:07-05:00,16.6,2.6
2025-11-13T17:19:58-05:00,135,18.3
2025-11-13T19:53:57-05:00,258.85,27.8
2025-11-14T06:44:44-05:00,94.8,9.9
2025-11-14T09:55:31-05:00,177.95,28.5
